kInvoiceNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,Ultra-Wide 4K Monitor,4,2026-04-01 08:26:00,450.0,17850,United Kingdom
536366,Mechanical Keyboard V2,3,2026-04-02 09:15:00,120.0,13047,United States
536367,Ergonomic Mesh Chair,5,2026-04-03 10:20:00,300.0,12583,France
536368,Wireless ANC Headphones,4,2026-04-04 11:30:00,150.0,13748,Germany
536369,USB-C Docking Station,6,2026-04-05 12:45:00,60.0,15100,United Kingdom
536370,1080p Streaming Webcam,5,2026-04-06 13:50:00,80.0,15291,United States
536371,Ultra-Wide 4K Monitor,4,2026-04-07 14:10:00,450.0,14688,Canada
536372,Mechanical Keyboard V2,4,2026-04-08 15:20:00,120.0,17809,Australia
536373,Ergonomic Mesh Chair,3,2026-04-09 16:30:00,300.0,15311,United Kingdom
536374,Wireless ANC Headphones,5,2026-04-10 08:40:00,150.0,14527,United States
536375,USB-C Docking Station,6,2026-04-11 09:50:00,60.0,16098,France
536376,1080p Streaming Webcam,4,2026-04-12 10:15:00,80.0,18074,Germany
536377,Ultra-Wide 4K Monitor,3,2026-04-13 11:25:00,450.0,17420,United Kingdom
536378,Mechanical Keyboard V2,5,2026-04-14 12:35:00,120.0,14096,United States
536379,Ergonomic Mesh Chair,4,2026-04-15 13:45:00,300.0,15039,Canada
536380,Wireless ANC Headphones,4,2026-04-16 14:55:00,150.0,16656,Australia
536381,USB-C Docking Station,5,2026-04-17 15:10:00,60.0,16875,United Kingdom
536382,1080p Streaming Webcam,3,2026-04-18 16:20:00,80.0,13081,United States
536383,Ultra-Wide 4K Monitor,4,2026-04-19 08:30:00,450.0,15362,France
536384,Mechanical Keyboard V2,4,2026-04-20 09:40:00,120.0,18144,Germany
536385,Ergonomic Mesh Chair,5,2026-04-21 10:50:00,300.0,17389,United Kingdom
536386,Wireless ANC Headphones,3,2026-04-22 11:15:00,150.0,12662,United States
536387,USB-C Docking Station,6,2026-04-23 12:25:00,60.0,14911,Canada
536388,1080p Streaming Webcam,4,2026-04-24 13:35:00,80.0,15240,Australia
536389,Ultra-Wide 4K Monitor,5,2026-04-25 14:45:00,450.0,13408,United Kingdom
536390,Mechanical Keyboard V2,4,2026-04-26 15:55:00,120.0,13705,United States
536391,Ergonomic Mesh Chair,4,2026-04-27 16:10:00,300.0,14046,France
536392,Wireless ANC Headphones,3,2026-04-28 08:20:00,150.0,17908,Germany
536393,USB-C Docking Station,1,2026-04-29 09:30:00,60.0,16329,United Kingdom
536394,1080p Streaming Webcam,1,2026-04-30 10:40:00,80.0,12838,United States
536395,Ultra-Wide 4K Monitor,1,2026-05-01 11:50:00,450.0,13255,Canada
536396,Mechanical Keyboard V2,1,2026-05-02 12:15:00,120.0,16583,Australia
536397,Ergonomic Mesh Chair,1,2026-05-03 13:25:00,300.0,18085,United Kingdom
536398,Wireless ANC Headphones,1,2026-05-04 14:35:00,150.0,13758,United States
536399,USB-C Docking Station,1,2026-05-05 15:45:00,60.0,13694,France
